Column1	year	original_name	author	name_category	valid_name	collection_holotype	country_holotype	collection_paratype	country_paratype	country_type_locality	decimal_longitude_type_locality	decimal_latitude_type_locality	type_locality_verbatim	type_locality_catalog_of_fishes	latitude	longitude	datum	uncertainty_(m)	precision	date	georeferenced_by	protocol	expedition	notes
74	2014	Acrobrycon ortii	"Arcila, Vari & Menezes 2014"	valid	Acrobrycon ortii	CBF 13305 (ex USNM 305496)	Bolivia	"CBF 13306 (3), MLP 10317 (2), USNM 408404 (13)"	"Argentina, Bolivia, United States of America"	Bolivia			"Bolivia, Villamontes, Río Pilcomayo, Río Paraguay basin, 21°20'S, 63°37'W "	"Villamontes, Río Pilcomayo, Río Paraguay basin, 21°20'S, 63°37'W, Bolivia"	-21.27502	-63.460978	(WGS84) World Geodetic System 1984	5515	0.0000001	Pascal I. Hablützel	1/30/2024 18:24	Georeferencing Quick Reference Guide. 2020		
75	2014	Acrobrycon starnesi	"Arcila, Vari & Menezes 2014"	valid	Acrobrycon starnesi	CBF 13307 (ex USNM 319277)	Bolivia	"CBF 13308 (5), USNM 408405 (29)"	"Bolivia, United States of America"	Bolivia			"Bolivia, Chuquisaca, Río Thyumayu, tributary of Río Azero, by road 30 air km SE of Padilla, 19°34'S, 64°08'W"	"Chuquisaca, Río Thyumayu, tributary of Río Azero, by road 30 air km SE of Padilla, 19°34'S, 64°08'W, Bolivia"	-19.5666667	-64.1	(WGS84) World Geodetic System 1984	3550	0.0000001	Pascal I. Hablützel	7/14/2024 21:31	Georeferencing Quick Reference Guide. 2020		
	1911	Aequidens awani	Haseman 1911	synonym	Aequidens viridis	FMNH 54036 [ex CM 2576]	United States of America	FMNH 54037 [ex CM 2577] (1)	United States of America	Bolivia/Brazil			"São Antonio de Guaporé, Rio Guaporé"	"São Antonio de Guaporé, Rio Guaporé, Brazil"	-12.544691	-63.526247	(WGS84) World Geodetic System 1984	5663	0.0000001	Pascal I. Hablützel	5/8/2024 10:49	Georeferencing Quick Reference Guide. 2020	John D. Haseman	
	1911	Aequidens guaporensis	Haseman 1911	synonym	Aequidens viridis	FMNH 54035 [ex CM 2575]	United States of America	NaN	NaN	Bolivia/Brazil			São Antonio de Guaporé	"São Antonio de Guaporé, Brazil"	-12.544691	-63.526247	(WGS84) World Geodetic System 1984	5663	0.0000001	Pascal I. Hablützel	5/8/2024 10:49	Georeferencing Quick Reference Guide. 2020	John D. Haseman	
	1914	Agoniates anchovia	Eigenmann 1914	valid	Agoniates anchovia	FMNH 56401 [ex CM 5216]	United States of America	"(9) FMNH 14918 (1), 56402 (7)"	United States of America	Bolivia			Villa Bella	"Villa Bella, Rio Beni [?], upper Amazon system, Brazil"	-10.394563	0	(WGS84) World Geodetic System 1984	3463	0.0000001	Pascal I. Hablützel	5/8/2024 10:46	Georeferencing Quick Reference Guide. 2020	John D. Haseman	
76	1940	Amblystilbe howesi	Fowler 1940	valid	Amblystilbe howesi	CAS-SU 17472	United States of America	"CAS-SU 17473 (15; 1 c&s), 17474 (2), 19050 (9); USNM 157366 (1)"	United States of America	Bolivia			"Boca Chapare, Rio Chimore, Cochabamba, Bolivia"	"Boca Chapare, Río Chimore, Cochabamba, Amazon system, Bolivia"	-15.940585	-64.755579	(WGS84) World Geodetic System 1984	2354	0.0000001	Pascal I. Hablützel	5/8/2024 19:45	protocol not recorded	Melbourne A. Carriker	
47	1927	Rivulus beniensis beniensis	Myers 1927	valid	Anablepsoides beniensis	USNM 120432 [ex USNM 86766]	United States of America	"CAS 76353 [ex IU 17259] (?1), 76351 [ex IU 17258] (36); MCZ 31580 (8, now 6); UMMZ 66358 (11); USNM 120432 [ex MCZ 31580] (now 1), 86766 (5), 268121 (1), 167745 (5)"	United States of America	Bolivia			"Bolivia: Ivon, Rio Beni"	"Ivon, Río Beni, Bolivia"	-11.120043	-66.120185	(WGS84) World Geodetic System 1984	3455	0.0000001	Pascal I. Hablützel	1/30/2024 15:03	Georeferencing Quick Reference Guide. 2020	Nathan E. Pearson	
48	1927	Rivulus beniensis lacustris	Myers 1927	synonym	Anablepsoides beniensis	UMMZ 66396	United States of America	"CAS 76351 (36) [=IU 17258, in part], MCZ 31581 (5), UMMZ 66396b (9), USNM 86812 (5)"	United States of America	Bolivia			Bolivia: Lagoons along shores of Lake Rogoagua	"Lagoons along shores of Lake Rogoagua, Bolivia"	-13.971008	-66.983689	(WGS84) World Geodetic System 1984	12255	0.0000001	Pascal I. Hablützel	1/29/2024 9:42	Georeferencing Quick Reference Guide. 2020	Nathan E. Pearson	
49	2019	Anablepsoides bibosi	Valdesalici & Gil 2019	valid	Anablepsoides bibosi	MSNG 61243	Italy	MSNG 61244 (2)	Italy	Bolivia			"Bolivia, Departamento Cochabamba, Provincia Tiraque, arroyo Bibosi, 16°59'07.6''S 65°24'23.2''W"	"Arroyo Bibosi, near Villa Tunari, Río Chapare drainage, Rio Mamoré basin, Provincia Tiraque, Departamento Cochabamba, Bolivia, 16°59'07.6""S, 65°24'23.2""W"	-16.98544444	-65.40644444								
50	1988	Rivulus bolivianus	Seegers 1988	valid	Anablepsoides bolivianus	ZFMK 14602	Germany	ZFMK 14603-09 (7)	Germany	Bolivia			"Laguna ""Suarez"", ca. 4 km SO Trinidad, Einzug des Rio Mamoré, Bolivien (ca. 64° 55' W, 14° 55' S)"	"Suarez lake, about 4 kilometers southeast of Trinidad, at Río Mamore mouth, 14°55'S, 64°55'W, Bolivia"										
